rank,repository,final_score,llm_preference_score,technical_execution_score,market_adoption_score,team_resilience_score,funding_gate_multiplier,funding_risk_level,reason_1,reason_2,reason_3,investment_brief,methodology_version,analysis_date,stars,forks,description,language,website
64,kestra-io/kestra,,0.66,0,0.9137931034482761,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #64 with nan final score representing moderate investment interest. :zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins f... Community validation: 21,129 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,21129,1809,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",Go,https://kestra.io
65,emcie-co/parlant,,0.255,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #65 with nan final score representing moderate investment interest. LLM agents built for control. Designed for real-world use. Deployed in minutes.... Community validation: 11,778 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,11778,943,LLM agents built for control. Designed for real-world use. Deployed in minutes.,TypeScript,https://www.parlant.io
66,documenso/documenso,,0.52,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #66 with nan final score representing moderate investment interest. The Open Source DocuSign Alternative.... Community validation: 11,589 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,11589,1960,The Open Source DocuSign Alternative.,Go,https://documenso.com
67,makeplane/plane,,0.52,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #67 with nan final score representing moderate investment interest. 🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, ep... Community validation: 38,697 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,38697,2687,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",Go,http://plane.so
68,formbricks/formbricks,,0.655,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #68 with nan final score representing moderate investment interest. Open Source Qualtrics Alternative... Community validation: 11,241 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,11241,1990,Open Source Qualtrics Alternative,Rust,https://formbricks.com
69,erxes/erxes,,0.73,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #69 with nan final score representing moderate investment interest. Source available experience management infrastructure. Pioneering the future of experiences with XOS... Community validation: 3,681 stars. High innovation potential detected. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3681,1166,Source available experience management infrastructure. Pioneering the future of experiences with XOS (Experience Operating System). Hubspot + Qualtrics alternative,TypeScript,https://erxes.io
70,novuhq/novu,,0.48000000000000004,0,0.9137931034482761,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #70 with nan final score representing moderate investment interest. The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.... Community validation: 37,755 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,37755,4110,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",Java,https://novu.co
71,knadh/listmonk,,0.4,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #71 with nan final score representing moderate investment interest. High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single b... Community validation: 17,782 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,17782,1740,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Python,https://listmonk.app
72,paperless-ngx/paperless-ngx,,0.375,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #72 with nan final score representing moderate investment interest. A community-supported supercharged document management system: scan, index and archive all your docu... Community validation: 31,942 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,31942,1952,"A community-supported supercharged document management system: scan, index and archive all your documents",TypeScript,http://docs.paperless-ngx.com/
73,OpenBB-finance/OpenBB,,0.46,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #73 with nan final score representing moderate investment interest. Financial data platform for analysts, quants and AI agents.... Community validation: 52,175 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,52175,4954,"Financial data platform for analysts, quants and AI agents.",TypeScript,https://openbb.co
74,rowyio/rowy,,0.435,0,0.7783251231527093,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #74 with nan final score representing moderate investment interest. Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflow... Community validation: 6,729 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6729,539,"Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflows in JS/TS, all in your browser.",TypeScript,http://rowy.io
75,Infisical/infisical,,0.525,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #75 with nan final score representing moderate investment interest. Infisical is the open-source platform for secrets management, PKI, and SSH access.... Community validation: 20,053 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,20053,1349,"Infisical is the open-source platform for secrets management, PKI, and SSH access.",TypeScript,https://infisical.com
76,teableio/teable,,0.4,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #76 with nan final score representing moderate investment interest. ✨ The Next Gen Airtable Alternative: No-Code Postgres... Community validation: 19,482 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,19482,1021,✨ The Next Gen Airtable Alternative: No-Code Postgres,Java,https://teable.ai
77,logto-io/logto,,0.615,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #77 with nan final score representing moderate investment interest. 🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.... Community validation: 10,748 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,10748,615,"🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",JavaScript,https://logto.io
78,Unleash/unleash,,0.6000000000000001,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #78 with nan final score representing moderate investment interest. Open-source feature management platform... Community validation: 12,608 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,12608,792,Open-source feature management platform,Go,https://www.getunleash.io
79,appsmithorg/appsmith,,0.61,0,0.8152709359605913,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #79 with nan final score representing moderate investment interest. Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and an... Community validation: 37,945 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,37945,4228,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",Go,https://www.appsmith.com
80,ToolJet/ToolJet,,0.7200000000000001,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #80 with nan final score representing moderate investment interest. ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal t... Community validation: 36,445 stars. High innovation potential detected. No institutional funding detected - prime BSV target.",1.0,2025-09-14,36445,4742,"ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀",TypeScript,https://tooljet.ai
81,fonoster/fonoster,,0.395,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #81 with nan final score representing moderate investment interest. 🚀 The open-source alternative to Twilio.... Community validation: 6,997 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,6997,417,🚀 The open-source alternative to Twilio.,Rust,https://fonoster.com
82,jitsucom/jitsu,,0.6000000000000001,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #82 with nan final score representing moderate investment interest. Jitsu is an open-source Segment alternative. Fully-scriptable data ingestion engine for modern data ... Community validation: 4,398 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4398,315,"Jitsu is an open-source Segment alternative. Fully-scriptable data ingestion engine for modern data teams. Set-up a real-time data pipeline in minutes, not days",Go,https://jitsu.com
83,Avaiga/taipy,,0.36,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #83 with nan final score representing moderate investment interest. Turns Data and AI algorithms into production-ready web applications in no time.... Community validation: 18,618 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,18618,1926,Turns Data and AI algorithms into production-ready web applications in no time.,Go,https://www.taipy.io
84,go-skynet/LocalAI,,0.6300000000000001,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #84 with nan final score representing moderate investment interest. :robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first.... Community validation: 35,178 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,35178,2759,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",Python,https://localai.io
85,chroma-core/chroma,,0.48,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #85 with nan final score representing moderate investment interest. Open-source search and retrieval database for AI applications.... Community validation: 23,247 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,23247,1822,Open-source search and retrieval database for AI applications.,Rust,https://www.trychroma.com/
86,weaviate/weaviate,,0.54,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #86 with nan final score representing moderate investment interest. Weaviate is an open-source vector database that stores both objects and vectors, allowing for the co... Community validation: 14,550 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14550,1076,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",TypeScript,https://weaviate.io/developers/weaviate/
87,qdrant/qdrant,,0.5700000000000001,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #87 with nan final score representing moderate investment interest. Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next gener... Community validation: 25,875 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,25875,1809,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Go,https://qdrant.tech
88,milvus-io/milvus,,0.505,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #88 with nan final score representing moderate investment interest. Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search... Community validation: 37,128 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,37128,3391,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",Python,https://milvus.io
89,marqo-ai/marqo,,0.44,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #89 with nan final score representing moderate investment interest. Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai... Community validation: 4,938 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4938,214,Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai,Go,https://www.marqo.ai/
90,typesense/typesense,,0.45999999999999996,0,0.5172413793103449,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #90 with nan final score representing moderate investment interest. Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ... Community validation: 24,317 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,24317,807,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",Go,https://typesense.org
91,zincsearch/zincsearch,,0.33000000000000007,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #91 with nan final score representing moderate investment interest. ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in ... Community validation: 17,539 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,17539,759,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",Go,https://zincsearch-docs.zinc.dev
92,quickwit-oss/quickwit,,0.5800000000000001,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #92 with nan final score representing moderate investment interest. Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, ... Community validation: 10,402 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,10402,485,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",Go,https://quickwit.io
93,openobserve/openobserve,,0.54,0,0.5172413793103449,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #93 with nan final score representing moderate investment interest. 🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance,  🚀 petabyte scale - Elasticsearch/Splun... Community validation: 16,557 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,16557,650,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance,  🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces, RUM, Error tracking, Session replay).",Go,https://openobserve.ai
94,grafana/loki,,0.4600000000000001,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #94 with nan final score representing moderate investment interest. Like Prometheus, but for logs.... Community validation: 26,413 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,26413,3782,"Like Prometheus, but for logs.",Go,https://grafana.com/loki
95,VictoriaMetrics/VictoriaMetrics,,0.5050000000000001,0,0.41379310344827597,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #95 with nan final score representing moderate investment interest. VictoriaMetrics: fast, cost-effective monitoring solution and time series database... Community validation: 14,986 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14986,1456,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",Rust,https://victoriametrics.com/
96,cortexproject/cortex,,0.56,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #96 with nan final score representing moderate investment interest. A horizontally scalable, highly available, multi-tenant, long term Prometheus.... Community validation: 5,671 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,5671,831,"A horizontally scalable, highly available, multi-tenant, long term Prometheus.",Java,https://cortexmetrics.io/
97,thanos-io/thanos,,0.51,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #97 with nan final score representing moderate investment interest. Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.... Community validation: 13,695 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,13695,2203,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,Go,https://thanos.io
98,m3db/m3,,0.68,0,1.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #98 with nan final score representing moderate investment interest. M3 monorepo - Distributed TSDB, Aggregator and Query Engine, Prometheus Sidecar, Graphite Compatible... Community validation: 4,847 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4847,464,"M3 monorepo - Distributed TSDB, Aggregator and Query Engine, Prometheus Sidecar, Graphite Compatible, Metrics Platform",Go,https://m3db.io/
99,skypilot-org/skypilot,,0.4,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #99 with nan final score representing moderate investment interest. Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all ... Community validation: 8,697 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,8697,771,"Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, 17+ clouds, or on-prem).",Python,https://docs.skypilot.co/en/latest/docs/index.html
100,semaphoreio/semaphore,,0.36,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #100 with nan final score representing moderate investment interest. Semaphore is an open source CI/CD platform. Self-host Semaphore on your own servers or on a cloud pr... Community validation: 1,300 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,1300,62,Semaphore is an open source CI/CD platform. Self-host Semaphore on your own servers or on a cloud provider.,Python,https://semaphore.io/
