repository,owner,repo_name,stars,forks,watchers,description,created_at,pushed_at,updated_at,language,size,has_issues,has_projects,has_wiki,has_pages,has_downloads,archived,disabled,private,fork,license,default_branch,open_issues_count,topics,visibility,homepage,collection_failed,contributors_count,top_contributor_commits,releases_count,latest_release_date,languages,primary_language_bytes,dataset_index,dataset_description,dataset_website,dataset_initial_stars,dataset_initial_forks,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
Skyvern-AI/skyvern,Skyvern-AI,skyvern,14249,1197,14249,Automate browser-based workflows with LLMs and Computer Vision,2024-02-28T15:45:19Z,2025-09-14T02:18:00Z,2025-09-14T16:38:04Z,Python,264393,True,False,False,False,True,False,False,False,False,GNU Affero General Public License v3.0,main,167,"['api', 'automation', 'browser', 'browser-automation', 'computer', 'gpt', 'llm', 'playwright', 'python', 'rpa', 'vision', 'workflow']",public,https://www.skyvern.com,False,30,1430,30,2025-09-10T07:56:34Z,"['Python', 'TypeScript', 'MDX', 'Jinja', 'JavaScript', 'CSS', 'Shell', 'Dockerfile', 'Mako', 'HTML']",3156486,31,Automate browser-based workflows with LLMs and Computer Vision,https://www.skyvern.com,14240,1196,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.7413793103448276,0.6673563218390802,0.6673563218390803
triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,12273,813,12273,Trigger.dev – build and deploy fully‑managed AI agents and workflows,2022-11-30T14:59:07Z,2025-09-12T21:35:20Z,2025-09-14T23:05:04Z,TypeScript,138340,True,True,False,False,True,False,False,False,False,Apache License 2.0,main,129,"['ai', 'ai-agent-framework', 'ai-agents', 'automation', 'background-jobs', 'mcp', 'mcp-server', 'nextjs', 'orchestration', 'scheduler', 'serverless', 'workflow-automation', 'workflows']",public,https://trigger.dev/changelog,False,30,2385,30,2025-08-29T12:02:20Z,"['TypeScript', 'JavaScript', 'Shell', 'Smarty', 'CSS', 'PLpgSQL', 'Dockerfile', 'Python']",8748364,32,Trigger.dev – build and deploy fully‑managed AI agents and workflows,https://trigger.dev/changelog,12252,811,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
keephq/keep,keephq,keep,10694,1055,10694,The open-source AIOps and alert management platform,2023-02-04T18:43:27Z,2025-09-13T13:54:54Z,2025-09-15T00:30:38Z,Python,84521,True,True,False,False,True,False,False,False,False,Other,main,365,"['aiops', 'alarm', 'alarms', 'alerting', 'alerts', 'monitoring', 'monitoring-tool', 'python', 'python3', 'workflow-automation']",public,https://keephq.dev,False,30,811,30,2025-09-03T20:40:08Z,"['Python', 'TypeScript', 'JavaScript', 'CSS', 'Shell', 'SCSS', 'Mako']",4748557,33,The open-source AIOps and alert management platform,https://keephq.dev,10658,1053,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.7413793103448276,0.6673563218390802,0.6673563218390803
explodinggradients/ragas,explodinggradients,ragas,10712,1071,10712,Supercharge Your LLM Application Evaluations 🚀,2023-05-08T17:48:04Z,2025-09-13T02:40:07Z,2025-09-14T22:11:26Z,Python,45874,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,423,"['evaluation', 'llm', 'llmops']",public,https://docs.ragas.io,False,30,268,30,2025-09-10T23:57:28Z,"['Python', 'Makefile', 'Jupyter Notebook', 'Dockerfile', 'Shell']",1190531,34,Supercharge Your LLM Application Evaluations 🚀,https://docs.ragas.io,10681,1070,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
activeloopai/deeplake,activeloopai,deeplake,8815,678,8815,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",2019-08-09T06:17:59Z,2025-09-11T15:43:35Z,2025-09-14T04:29:18Z,Python,68677,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,60,"['ai', 'computer-vision', 'cv', 'data-science', 'datalake', 'datasets', 'deep-learning', 'image-processing', 'langchain', 'large-language-models', 'llm', 'machine-learning', 'ml', 'mlops', 'multi-modal', 'python', 'pytorch', 'tensorflow', 'vector-database', 'vector-search']",public,https://activeloop.ai,False,30,1651,30,2025-09-05T13:50:53Z,['Python'],450163,35,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",https://activeloop.ai,8812,677,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,1.0,0,1.0,0.983448275862069,0.9834482758620692
hyperdxio/hyperdx,hyperdxio,hyperdx,8849,307,8849,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",2023-09-13T00:46:19Z,2025-09-12T20:44:36Z,2025-09-14T15:59:11Z,TypeScript,18573,True,True,True,False,True,False,False,False,False,MIT License,main,105,"['alerting', 'analytics', 'apm', 'application-monitoring', 'clickhouse', 'dashboard', 'frontend-monitoring', 'kubernetes', 'log-management', 'logs', 'metrics', 'monitoring', 'observability', 'opentelemetry', 'react', 'self-hosted', 'session-replay', 'traces', 'typescript']",public,https://hyperdx.io/,False,30,263,30,2025-09-12T20:44:39Z,"['TypeScript', 'SCSS', 'Shell', 'JavaScript', 'Dockerfile', 'Makefile', 'Go', 'CSS', 'HTML']",2361658,36,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",https://hyperdx.io/,8847,307,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
highlight/highlight,highlight,highlight,8669,457,8669,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",2020-08-20T17:55:23Z,2025-09-12T22:16:13Z,2025-09-14T19:10:54Z,TypeScript,618825,True,True,True,False,True,False,False,False,False,Other,main,361,"['apm', 'full-stack', 'golang', 'metrics', 'monitoring', 'observability', 'open-source', 'self-hosted', 'session-replay', 'tracing', 'typescript']",public,https://app.highlight.io,False,30,1538,30,2025-08-08T15:42:36Z,"['TypeScript', 'Go', 'JavaScript', 'Python', 'Java', 'CSS', 'SCSS', 'Ruby', 'HTML', 'C#', 'Rust', 'Dockerfile', 'PHP', 'Shell', 'Elixir', 'Makefile', 'EJS', 'ANTLR', 'MDX', 'Less', 'Scheme', 'ASP.NET']",11207694,37,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",https://app.highlight.io,8656,456,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,1.0,0.0,1.0,0,0.9137931034482761,0.8397701149425286,0.8397701149425288
getlago/lago,getlago,lago,8455,441,8455,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",2022-02-28T09:22:45Z,2025-09-12T14:50:57Z,2025-09-14T19:13:44Z,Go,138222,True,False,True,True,True,False,False,False,False,GNU Affero General Public License v3.0,main,18,"['analytics', 'billing', 'clickhouse', 'events', 'fintech', 'go', 'ingestion', 'invoices', 'metering', 'open-source', 'payments', 'pricing', 'pricing-data-science', 'react', 'ruby', 'self-hosted', 'subscriptions', 'usage-based-billing']",public,https://www.getlago.com,False,30,183,30,2025-09-08T14:41:19Z,"['Go', 'Shell', 'Dockerfile', 'Procfile']",138664,38,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",https://www.getlago.com,8446,441,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,0.8958333333333335,1.0,0.0,0,0.7413793103448281,0.6673563218390806,0.6673563218390808
paradedb/paradedb,paradedb,paradedb,7751,274,7751,The transactional Elasticsearch alternative built on Postgres,2023-06-30T20:21:47Z,2025-09-14T22:46:53Z,2025-09-14T22:06:21Z,Rust,27535,True,True,False,True,True,False,False,False,False,GNU Affero General Public License v3.0,main,79,"['aggregations', 'analytics', 'bm25', 'database', 'elasticsearch', 'full-text-search', 'htap', 'hybrid-search', 'olap', 'postgresql', 'real-time-analytics', 'similarity-search', 'sparse-vector', 'sql']",public,https://paradedb.com,False,30,688,30,2025-09-10T21:45:09Z,"['Rust', 'PLpgSQL', 'Dockerfile', 'Shell', 'Makefile']",2369956,39,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",https://paradedb.com,7730,273,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,1.0,0,0.9137931034482761,0.8563218390804597,0.8563218390804597
firezone/firezone,firezone,firezone,7510,333,7510,Enterprise-ready zero-trust access platform built on WireGuard®.,2020-04-22T04:05:12Z,2025-09-15T00:32:58Z,2025-09-13T21:49:14Z,Elixir,185513,True,True,False,True,True,False,False,False,False,Apache License 2.0,main,466,"['cloud', 'devsecops', 'elixir', 'elixir-lang', 'firewall', 'liveview', 'network', 'network-security', 'networking', 'phoenix', 'privacy', 'rust-lang', 'security', 'self-hosted', 'virtual-network', 'vpn', 'vpn-server', 'wireguard', 'wireguard-ui', 'wireguard-vpn']",public,https://www.firezone.dev,False,30,3486,30,2025-09-10T16:23:50Z,"['Elixir', 'Rust', 'TypeScript', 'Swift', 'Kotlin', 'Shell', 'HTML', 'JavaScript', 'Dockerfile', 'CSS', 'PowerShell', 'Python', 'Nix', 'Makefile', 'Batchfile', 'C', 'Mermaid']",4339557,40,Enterprise-ready zero-trust access platform built on WireGuard®.,https://www.firezone.dev,7506,334,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
growthbook/growthbook,growthbook,growthbook,6854,597,6854,Open Source Feature Flagging and A/B Testing Platform,2021-05-07T23:11:51Z,2025-09-14T00:22:31Z,2025-09-14T10:57:23Z,TypeScript,129154,True,True,True,True,True,False,False,False,False,Other,main,636,"['ab-testing', 'abtest', 'abtesting', 'analytics', 'bigquery', 'clickhouse', 'continuous-delivery', 'data-analysis', 'data-engineering', 'data-science', 'experimentation', 'feature-flagging', 'feature-flags', 'mixpanel', 'redshift', 'remote-config', 'snowflake', 'split-testing', 'statistics']",public,https://www.growthbook.io,False,30,657,30,2025-09-09T02:49:04Z,"['TypeScript', 'Python', 'SCSS', 'JavaScript', 'Jinja', 'Handlebars', 'Dockerfile', 'Smarty', 'CSS', 'Shell']",10663118,41,Open Source Feature Flagging and A/B Testing Platform,https://www.growthbook.io,6847,596,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.7413793103448276,0.6673563218390802,0.6673563218390803
shuttle-hq/shuttle,shuttle-hq,shuttle,6653,277,6653,Build & ship backends without writing any infrastructure files.,2022-02-19T18:37:55Z,2025-09-12T10:43:19Z,2025-09-14T08:56:43Z,Rust,71591,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,73,"['baas', 'deployment', 'devops', 'framework', 'paas', 'rust', 'rust-lang', 'web', 'web-framework']",public,https://shuttle.dev,False,30,401,30,2025-09-11T14:46:56Z,"['Rust', 'Shell', 'PowerShell', 'Dockerfile', 'Jinja']",458497,42,Build & ship backends without writing any infrastructure files.,https://shuttle.dev,6650,277,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.9999999999999998,0.9999999999999994,0.0,0,0.8275862068965515,0.8110344827586206,0.8110344827586207
evidentlyai/evidently,evidentlyai,evidently,6606,723,6606,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",2020-11-25T15:20:08Z,2025-09-12T12:09:33Z,2025-09-14T22:17:47Z,Jupyter Notebook,335633,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,224,"['data-drift', 'data-quality', 'data-science', 'data-validation', 'generative-ai', 'hacktoberfest', 'html-report', 'jupyter-notebook', 'llm', 'llmops', 'machine-learning', 'mlops', 'model-monitoring', 'pandas-dataframe']",public,https://discord.gg/xZjKRaNp8b,False,30,602,30,2025-08-28T14:01:00Z,"['Jupyter Notebook', 'Python', 'TypeScript', 'Makefile', 'HTML', 'JavaScript', 'CSS', 'Shell']",11601416,43,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",https://discord.gg/xZjKRaNp8b,6600,723,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
traceloop/openllmetry,traceloop,openllmetry,6395,798,6395,"Open-source observability for your LLM application, based on OpenTelemetry",2023-09-02T14:42:59Z,2025-09-14T12:19:38Z,2025-09-14T18:42:21Z,Python,42065,True,True,False,False,True,False,False,False,False,Apache License 2.0,main,269,"['artifical-intelligence', 'datascience', 'generative-ai', 'good-first-issue', 'good-first-issues', 'help-wanted', 'llm', 'llmops', 'metrics', 'ml', 'model-monitoring', 'monitoring', 'observability', 'open-source', 'open-telemetry', 'opentelemetry', 'opentelemetry-python', 'python']",public,https://www.traceloop.com/openllmetry,False,30,394,30,2025-09-14T12:05:02Z,"['Python', 'Shell']",2967366,44,"Open-source observability for your LLM application, based on OpenTelemetry",https://www.traceloop.com/openllmetry,6389,798,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
superagent-ai/superagent,superagent-ai,superagent,6123,937,6123,The worlds first purpose-built firewall for AI,2023-05-10T18:50:39Z,2025-09-14T06:34:49Z,2025-09-14T23:04:57Z,Rust,68297,True,True,True,False,True,False,False,False,False,Other,main,4,"['ai', 'anthropic', 'llm', 'openai', 'proxy']",public,https://superagent.sh,False,1,57,30,2025-09-14T06:34:24Z,"['Rust', 'JavaScript', 'Shell', 'Python']",77103,45,The worlds first purpose-built firewall for AI,https://superagent.sh,6118,937,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,0.8749999999999999,0.0,0.0,0,0.6379310344827588,0.5639080459770115,0.5639080459770116
authzed/spicedb,authzed,spicedb,6021,342,6021,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",2021-08-16T15:32:09Z,2025-09-12T20:38:12Z,2025-09-14T16:26:51Z,Go,21453,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,116,"['abac', 'acl', 'authorization', 'ciam', 'cloud-native', 'database', 'distributed-systems', 'entitlements', 'fga', 'fine-grained-access-control', 'fine-grained-authorization', 'kubernetes', 'permissions', 'rbac', 'rebac', 'security', 'security-tools', 'zanzibar']",public,https://authzed.com/docs,False,30,2049,30,2025-08-25T09:22:24Z,"['Go', 'JavaScript', 'HTML', 'Dockerfile', 'Shell']",5726958,46,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",https://authzed.com/docs,6017,341,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,0.9999999999999994,1.0,0,1.0,1.0,1.0
hatchet-dev/hatchet,hatchet-dev,hatchet,6020,264,6020,🪓 Run Background Tasks at Scale,2023-12-15T17:50:29Z,2025-09-14T19:26:28Z,2025-09-14T10:14:54Z,Python,101805,True,True,False,False,True,False,False,False,False,MIT License,main,31,"['concurrency', 'dag', 'distributed', 'distributed-systems', 'durable-execution', 'event-driven', 'fastapi', 'golang', 'nodejs', 'python', 'queue', 'typescript', 'workflow-engine']",public,https://hatchet.run,False,30,563,30,2025-08-14T20:22:42Z,"['Python', 'Go', 'TypeScript', 'MDX', 'PLpgSQL', 'Ruby', 'JavaScript', 'Shell', 'CSS', 'Dockerfile', 'HTML']",4958325,47,🪓 Run Background Tasks at Scale,https://hatchet.run,6019,262,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,1.0,0,1.0,0.983448275862069,0.9834482758620692
NangoHQ/nango,NangoHQ,nango,5858,544,5858,A single API for all your integrations.,2020-04-09T09:31:24Z,2025-09-13T21:42:02Z,2025-09-14T21:05:58Z,TypeScript,147384,True,False,True,False,True,False,False,False,False,Other,master,20,"['access-token', 'api', 'api-client', 'api-integration', 'api-integrations', 'integrations', 'oauth', 'oauth1', 'oauth2', 'product-integration', 'refresh-token', 'unified-api']",public,https://www.nango.dev,False,30,1027,30,2025-09-10T20:42:15Z,"['TypeScript', 'MDX', 'JavaScript', 'HTML', 'CSS', 'Dockerfile', 'Shell', 'EJS']",4900993,48,A single API for all your integrations.,https://www.nango.dev,5848,543,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,0.5625,1.0,0.0,0,0.4655172413793105,0.391494252873563,0.39149425287356315
lightdash/lightdash,lightdash,lightdash,5099,615,5099,Self-serve BI to 10x your data team ⚡️,2021-03-19T09:44:40Z,2025-09-12T16:50:02Z,2025-09-14T22:04:08Z,TypeScript,186890,True,True,False,False,True,False,False,False,False,Other,main,1544,"['business-intelligence', 'data-analytics', 'data-visualization', 'dbt']",public,https://lightdash.com,False,30,4317,30,2025-09-12T15:58:17Z,"['TypeScript', 'HTML', 'JavaScript', 'CSS', 'Shell', 'Nix', 'MDX']",16267119,49,Self-serve BI to 10x your data team ⚡️,https://lightdash.com,5090,611,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,0.49999999999999994,0.0,0.0,0,0.3275862068965517,0.25356321839080426,0.25356321839080415
ArroyoSystems/arroyo,ArroyoSystems,arroyo,4521,304,4521,Distributed stream processing engine in Rust,2023-03-31T17:41:56Z,2025-09-08T22:09:10Z,2025-09-14T20:14:56Z,Rust,15986,True,True,False,False,True,False,False,False,False,Apache License 2.0,master,86,"['data', 'data-stream-processing', 'dev-tools', 'infrastructure', 'kafka', 'rust', 'sql', 'stream-processing', 'stream-processing-engine']",public,https://arroyo.dev,False,30,394,27,2025-06-23T22:52:11Z,"['Rust', 'TypeScript', 'CSS', 'Dockerfile', 'Smarty', 'HTML', 'Shell', 'Python', 'RenderScript']",2418591,50,Distributed stream processing engine in Rust,https://arroyo.dev,4515,303,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,0.9999999999999994,1.0,0,1.0,1.0,1.0
Helicone/helicone,Helicone,helicone,4494,433,4494,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",2023-01-31T22:34:44Z,2025-09-15T00:06:15Z,2025-09-14T19:24:06Z,TypeScript,746334,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,61,"['agent-monitoring', 'analytics', 'evaluation', 'gpt', 'langchain', 'large-language-models', 'llama-index', 'llm', 'llm-cost', 'llm-evaluation', 'llm-observability', 'llmops', 'monitoring', 'open-source', 'openai', 'playground', 'prompt-engineering', 'prompt-management', 'ycombinator']",public,https://www.helicone.ai,False,30,2080,4,2025-08-21T18:47:38Z,"['TypeScript', 'MDX', 'Python', 'PLpgSQL', 'Shell', 'HCL', 'JavaScript', 'CSS', 'Dockerfile']",16182659,51,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",https://www.helicone.ai,4488,433,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
rivet-gg/engine,rivet-gg,engine,4371,113,4371,Scale and orchestrate RivetKit,2023-06-16T11:51:15Z,2025-09-14T22:58:54Z,2025-09-14T03:44:02Z,Rust,188723,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,39,"['actor', 'actors', 'bevy', 'cloudflare', 'cloudflare-durable-objects', 'deno', 'durable-objects', 'foundationdb', 'game-development', 'godot', 'multiplayer', 'partykit', 'realtime', 'rust', 'serverless', 'unreal-engine']",public,https://rivet.gg,False,16,2241,30,2025-09-02T11:13:29Z,"['Rust', 'TypeScript', 'MDX', 'JavaScript', 'CSS', 'Dockerfile', 'Shell', 'HTML', 'PowerShell']",2075155,52,Scale and orchestrate RivetKit,https://rivet.gg,4366,113,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
defog-ai/sqlcoder,defog-ai,sqlcoder,3884,262,3884,SoTA LLM for converting natural language questions to SQL queries,2023-08-17T21:19:32Z,2024-05-23T03:06:26Z,2025-09-12T19:22:14Z,Jupyter Notebook,1462,True,True,True,False,True,False,False,False,False,Apache License 2.0,main,0,[],public,,False,5,83,0,,"['Jupyter Notebook', 'HTML', 'Python', 'JavaScript']",172627,53,SoTA LLM for converting natural language questions to SQL queries,,3883,262,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
requestly/requestly,requestly,requestly,3982,335,3982,Free and open-source API Client & Interceptor.,2016-12-01T04:36:06Z,2025-09-12T21:21:33Z,2025-09-14T19:02:41Z,TypeScript,264914,True,True,True,False,True,False,False,False,False,Other,master,207,"['api', 'api-client', 'api-mock', 'api-rest', 'api-testing', 'bruno', 'charles-proxy', 'chrome-extension', 'fiddler', 'firefox-extension', 'hacktoberfest', 'http-interceptor', 'insomnia', 'mock-server', 'mockapi', 'open-source', 'postman', 'postman-api', 'postman-collection', 'postman-environment']",public,https://requestly.com,False,30,570,26,2025-09-08T08:20:12Z,"['TypeScript', 'JavaScript', 'SCSS', 'CSS', 'HTML', 'Shell', 'Less', 'Dockerfile']",4051309,54,Free and open-source API Client & Interceptor.,https://requestly.com,3976,335,0,0,0,0,0,0,,0,0,,0,0.0,0.0,0,0.0,0.5625,1.0,0.0,0,0.4655172413793105,0.391494252873563,0.39149425287356315
vocodedev/vocode-core,vocodedev,vocode-core,3444,623,3444,🤖 Build voice-based LLM agents. Modular + open source.,2023-02-24T18:44:46Z,2024-11-15T22:16:58Z,2025-09-14T20:41:43Z,Python,19499,True,True,True,False,True,False,False,False,False,MIT License,main,15,[],public,https://vocode.dev,False,30,492,7,2024-08-07T18:37:10Z,"['Python', 'Jupyter Notebook', 'Dockerfile', 'Makefile', 'Shell']",768818,55,🤖 Build voice-based LLM agents. Modular + open source.,https://vocode.dev,3440,622,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
fern-api/fern,fern-api,fern,3311,244,3311,Input OpenAPI. Output SDKs and Docs.,2022-04-01T17:56:54Z,2025-09-15T00:30:44Z,2025-09-14T23:33:31Z,TypeScript,2791277,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,322,"['api', 'docs-as-code', 'docs-generator', 'openapi', 'sdk-generator']",public,https://buildwithfern.com,False,30,2710,30,2025-09-14T22:53:31Z,"['TypeScript', 'Python', 'Java', 'MDX', 'Go', 'C#', 'PHP', 'JavaScript', 'Rust', 'Swift', 'Ruby', 'Shell', 'Dockerfile', 'CSS', 'PowerShell', 'Makefile', 'HTML']",12787071,56,Input OpenAPI. Output SDKs and Docs.,https://buildwithfern.com,3308,244,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.37499999999999994,1.0,0.0,0,0.3965517241379311,0.3799999999999998,0.38
OpenPipe/OpenPipe,OpenPipe,OpenPipe,2731,160,2731,Turn expensive prompts into cheap fine-tuned models,2023-06-20T00:55:24Z,2024-05-25T00:18:13Z,2025-09-14T13:49:40Z,TypeScript,12211,True,True,False,False,True,False,False,False,False,Apache License 2.0,main,6,"['ai', 'llm', 'llmops', 'prompt-engineering']",public,https://openpipe.ai,False,12,610,0,,"['TypeScript', 'Python', 'JavaScript', 'PLpgSQL', 'Shell', 'Dockerfile']",1349220,57,Turn expensive prompts into cheap fine-tuned models,https://openpipe.ai,2730,160,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
questdb/questdb,questdb,questdb,16088,1472,16088,"QuestDB is a high performance, open-source, time-series database",2014-04-28T23:29:15Z,2025-09-15T00:00:43Z,2025-09-14T19:16:36Z,Java,947342,True,True,False,False,True,False,False,False,False,Apache License 2.0,master,764,"['capital-markets', 'cpp', 'database', 'financial-analysis', 'grafana', 'java', 'kdb', 'low-latency', 'market-data', 'olap', 'parquet', 'postgresql', 'questdb', 'real-time-analytics', 'simd', 'sql', 'tick-data', 'time-series', 'time-series-database', 'tsdb']",public,https://questdb.com,False,30,2941,30,2025-08-29T18:32:12Z,"['Java', 'C++', 'Rust', 'C', 'Assembly', 'Python', 'JavaScript', 'CMake', 'Shell', 'Go', 'C#', 'PHP', 'HTML', 'Dockerfile', 'R', 'Makefile', 'DTrace', 'RenderScript']",44974872,58,"QuestDB is a high performance, open-source, time-series database",https://questdb.com,16082,1472,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.9305555555555556,0.9999999999999994,1.0,0,0.9425287356321841,0.9259770114942528,0.925977011494253
langfuse/langfuse,langfuse,langfuse,16104,1503,16104,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",2023-05-18T17:47:09Z,2025-09-14T16:30:37Z,2025-09-14T21:57:31Z,TypeScript,44057,True,False,False,False,True,False,False,False,False,Other,main,348,"['analytics', 'autogen', 'evaluation', 'langchain', 'large-language-models', 'llama-index', 'llm', 'llm-evaluation', 'llm-observability', 'llmops', 'monitoring', 'observability', 'open-source', 'openai', 'playground', 'prompt-engineering', 'prompt-management', 'self-hosted', 'ycombinator']",public,https://langfuse.com/docs,False,30,1540,30,2025-09-11T12:13:29Z,"['TypeScript', 'JavaScript', 'Shell', 'Dockerfile', 'CSS', 'PLpgSQL']",8404384,59,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",https://langfuse.com/docs,16053,1497,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,1.0,0.0,0,0.8275862068965519,0.7701149425287354,0.7701149425287354
